County,State (Code),Deaths,Population,Crude Rate Per 100000
Williamson County, TX (48491),48,"528,718",9.1
Cache County, UT (49005),10,"122,753",Unreliable
Davis County, UT (49011),23,"342,281",6.7
Salt Lake County, UT (49035),108,"1,121,354",9.6
Utah County, UT (49049),46,"592,299",7.8
Washington County, UT (49053),28,"160,245",17.5
Weber County, UT (49057),22,"247,560",8.9
Chittenden County, VT (50007),17,"161,531",Unreliable
Washington County, VT (50023),10,"58,504",Unreliable
Albemarle County, VA (51003),17,"106,878",Unreliable
Arlington County, VA (51013),17,"230,050",Unreliable
Chesterfield County, VA (51041),29,"339,009",8.6
Fairfax County, VA (51059),82,"1,138,652",7.2
Frederick County, VA (51069),12,"84,421",Unreliable
